Keyword,Suggested bid,
Polish to English,15.59,2.413755274
Uzbek to English,12.92,
Hungarian to English,12.9,
Turkish to Kurdish,12.67,
Mandarin to English,11.08,
English to Hmong,10.43,
French to Pashto,10.21,
English to Russian,9.62,
Hindi to Persian,9.1,
Japanese to Korean,8.74,
Malagasy to English,7.81,
English to Hungarian,7.62,
Oromo to English,7.6,
Pashto to Urdu,7.54,
Tagalog to Spanish,7.25,
Japanese to Nepali,7.24,
Spanish to Urdu,7.12,
Russian to Greek,7.08,
Spanish to Tagalog,7.02,
Hmong to English,7.01,
English to Mandarin,6.86,
Russian to Turkish,6.86,
Thai to French,6.43,
Romanian to Greek,6.17,
Italian to Greek,6.15,
Portuguese to English,6.15,
English to Polish,5.86,
English to Marwari,5.67,
English to Uzbek,5.65,
English to Korean,5.61,
English to Thai,5.6,
English to Swedish,5.27,
Hindi to Spanish,5.21,
German to English,5.17,
Spanish to English,5.04,
Assamese to English,5.01,
Japanese to Tagalog,5.01,
Greek to English,4.93,
Romanian to English,4.89,
Tagalog to Korean,4.82,
English to Kurdish,4.77,
English to Italian,4.69,
English to Spanish,4.68,
English to Khmer,4.58,
Turkish to Portuguese,4.45,
Vietnamese to English,4.39,
English to Ukrainian,4.19,
Bengali to Hindi,4.17,
Russian to Arabic,4.15,
Korean to English,3.98,
Kurdish to English,3.94,
Korean to Tagalog,3.82,
Arabic to Kurdish,3.79,
Thai to English,3.77,
English to French,3.71,
English to Sinhalese,3.67,
Russian to English,3.64,
Punjabi to Hindi,3.62,
Khmer to English,3.52,
Tagalog to Japanese,3.48,
Persian to Arabic,3.47,
English to Somali,3.44,
Korean to Nepali,3.38,
Kinyarwanda to English,3.33,
Italian to English,3.33,
Spanish to Hindi,3.29,
Japanese to Thai,3.27,
Japanese to Vietnamese,3.16,
Korean to Japanese,3.13,
Urdu to Pashto,3.01,
Kurdish to Arabic,2.93,
French to English,2.87,
English to Kinyarwanda,2.83,
English to Oromo,2.83,
Romanian to German,2.83,
English to Japanese,2.77,
English to Tagalog,2.76,
English to Nepali,2.75,
Arabic to Tamil,2.68,
Punjabi to French,2.57,
Czech to English,2.55,
English to Vietnamese,2.53,
Ukrainian to English,2.52,
English to Yoruba,2.52,
Arabic to Turkish,2.52,
English to German,2.44,
Pashto to English,2.41,
Burmese to English,2.41,
Punjabi to Spanish,2.4,
Tagalog to Italian,2.39,
English to Kazakh,2.36,
English to Greek,2.35,
Tagalog to English,2.34,
German to Urdu,2.25,
Japanese to Bengali,2.22,
English to Zulu,2.2,
English to Konkani,2.16,
English to Burmese,2.1,
English to Sindhi,2.1,
Italian to Tagalog,2.09,
English to Ilocano,2.03,
Sinhalese to English,1.97,
Arabic to Swedish,1.9,
Sindhi to English,1.87,
English to Balochi,1.81,
Yoruba to English,1.79,
French to Urdu,1.78,
Kazakh to English,1.72,
Tamil to Malayalam,1.72,
English to Turkish,1.64,
Nepali to English,1.61,
English to Pashto,1.61,
Turkish to English,1.58,
French to Hindi,1.52,
English to Amharic,1.51,
Zulu to English,1.51,
Amharic to English,1.49,
German to Persian,1.49,
French to Spanish,1.48,
Japanese to English,1.46,
Arabic to Malayalam,1.43,
Urdu to Italian,1.42,
German to Thai,1.4,
Arabic to Dutch,1.35,
Polish to Italian,1.33,
Arabic to English,1.29,
English to Dutch,1.29,
English to Malayalam,1.2,
English to Haitian Creole,1.15,
English to Czech,1.09,
English to Portuguese,1.07,
Malayalam to Tamil,1.05,
Tagalog to Ilocano,1.04,
Italian to Japanese,0.99,
English to Assamese,0.98,
English to Arabic,0.98,
Kirundi to English,0.97,
Punjabi to English,0.96,
Hindi to French,0.83,
English to Urdu,0.77,
Somali to English,0.74,
Ilocano to English,0.72,
Marathi to English,0.71,
English to Shona,0.69,
English to Telugu,0.67,
Telugu to Hindi,0.63,
English to Quechua,0.62,
English to Kannada,0.62,
Kannada to Telugu,0.61,
English to Persian,0.6,
Swedish to English,0.6,
Hindi to Thai,0.59,
Ilocano to Tagalog,0.58,
Arabic to Telugu,0.57,
Hindi to Kannada,0.57,
Tagalog to Arabic,0.57,
English to Xhosa,0.56,
French to Telugu,0.54,
English to Bhojpuri,0.53,
Urdu to Arabic,0.52,
Punjabi to Italian,0.51,
Persian to Hindi,0.51,
Persian to English,0.51,
Italian to Punjabi,0.51,
Telugu to French,0.49,
Telugu to Kannada,0.47,
German to Japanese,0.47,
Xhosa to English,0.45,
Telugu to English,0.45,
Bengali to English,0.44,
Hindi to Marathi,0.43,
Gujarati to French,0.42,
English to Tamil,0.42,
Assamese to Hindi,0.41,
English to Hindi,0.41,
English to Gujarati,0.41,
Kannada to Hindi,0.39,
Hindi to Arabic,0.37,
Gujarati to English,0.36,
Telugu to Arabic,0.34,
Arabic to Hindi,0.34,
Arabic to Urdu,0.33,
Shona to English,0.32,
Hindi to Telugu,0.32,
Quechua to English,0.32,
English to Kirundi,0.3,
English to Punjabi,0.3,
English to Bengali,0.3,
Hindi to English,0.29,
Urdu to English,0.29,
Konkani to English,0.29,
Persian to Urdu,0.21,
Tamil to English,0.21,
English to Marathi,0.21,
Japanese to Telugu,0.19,
Telugu to Tamil,0.18,
Kannada to English,0.18,
Swedish to Persian,0.17,
Hindi to Tamil,0.16,
Tamil to Telugu,0.16,
Persian to Swedish,0.15,
Spanish to Portuguese,0.13,
Persian to German,0.12,
Hindi to Urdu,0.12,
Punjabi to Arabic,0.11,
Tamil to Hindi,0.11,
Tamil to Arabic,0.11,
Italian to German,0.1,
Kannada to Tamil,0.1,
Polish to German,0.09,
Arabic to Persian,0.08,
Dutch to English,0.08,
Kannada to Arabic,0.07,
German to Tamil,0.07,
Malayalam to English,0.07,
Tamil to Kannada,0.07,
Japanese to Russian,0.07,
Arabic to Bengali,0.06,
Marathi to Hindi,0.06,
Nepali to Arabic,0.05,
French to Tamil,0.05,
Urdu to German,0.05,
Arabic to Tagalog,0.05,
Hindi to Malayalam,0.05,
Urdu to Hindi,0.05,
English to Belarusian,0.05,
Tagalog to Hindi,0.05,
Bengali to Arabic,0.04,
Arabic to Somali,0.04,
Hausa to English,0.04,
Akan to English,0.04,
Quechua to Spanish,0.04,
Bengali to Tamil,0.03,
Marathi to Tamil,0.03,
Arabic to Pashto,0.02,
Bhojpuri to Hindi,0.02,
Thai to Vietnamese,0.02,
